#Saturno-Alfa-2/Titã-3			LT 29 Jan 2023		StratoLoggerCF (SL-8)
#t(s)	h (m)
48.85	613.8672
48.9	613.5624
48.95	612.9528
49	612.9528
49.05	611.4288
49.1	611.124
49.15	610.5144
49.2	610.2096
49.25	609.9048
49.3	609.6
49.35	608.9904
49.4	608.3808
49.45	607.7712
49.5	607.4664
49.55	606.8568
49.6	605.9424
49.65	607.4664
49.7	606.8568
49.75	605.9424
49.8	605.9424
49.85	605.028
49.9	604.1136
49.95	603.504
50	604.4184
50.05	602.5896
50.1	602.2848
50.15	601.0656
50.2	601.0656
50.25	599.5416
50.3	598.932
50.35	598.0176
50.4	598.6272
50.45	598.0176
50.5	598.0176
50.55	597.408
50.6	596.1888
50.65	595.2744
50.7	594.9696
50.75	594.0552
50.8	593.1408
50.85	593.7504
50.9	593.4456
50.95	593.4456
51	592.2264
51.05	591.9216
51.1	591.0072
51.15	590.3976
51.2	590.0928
51.25	589.4832
51.3	589.1784
51.35	588.5688
51.4	587.3496
51.45	586.74
51.5	586.1304
51.55	585.216
51.6	584.6064
51.65	583.9968
51.7	583.692
51.75	583.3872
51.8	581.8632
51.85	581.8632
51.9	582.168
51.95	583.3872
52	583.0824
52.05	581.5584
52.1	581.2536
52.15	580.644
52.2	579.4248
52.25	578.5104
52.3	577.596
52.35	576.6816
52.4	575.7672
52.45	575.1576
52.5	575.1576
52.55	574.8528
52.6	574.8528
52.65	574.548
52.7	573.6336
52.75	572.7192
52.8	572.4144
52.85	571.5
52.9	571.5
52.95	569.976
53	569.6712
53.05	570.8904
53.1	570.8904
53.15	570.5856
53.2	570.2808
53.25	568.7568
53.3	567.8424
53.35	566.928
53.4	565.404
53.45	564.7944
53.5	563.5752
53.55	562.6608
53.6	562.0512
53.65	561.1368
53.7	561.1368
53.75	560.832
53.8	560.832
53.85	560.5272
53.9	559.9176
53.95	559.308
54	558.3936
54.05	557.784
54.1	557.1744
54.15	556.5648
54.2	555.9552
54.25	557.4792
54.3	557.1744
54.35	556.26
54.4	556.26
54.45	556.5648
54.5	554.736
54.55	553.5168
54.6	551.688
54.65	550.7736
54.7	548.9448
54.75	548.64
54.8	547.7256
54.85	547.116
54.9	547.7256
54.95	548.0304
55	547.7256
55.05	547.7256
55.1	546.5064
55.15	545.8968
55.2	545.2872
55.25	543.7632
55.3	543.4584
55.35	543.4584
55.4	543.7632
55.45	542.8488
55.5	542.2392
55.55	542.8488
55.6	542.8488
55.65	543.1536
55.7	541.9344
55.75	540.7152
55.8	538.8864
55.85	536.7528
55.9	535.2288
55.95	534.924
56	534.0096
56.05	533.7048
56.1	533.7048
56.15	534.3144
56.2	534.6192
56.25	534.0096
56.3	532.7904
56.35	531.5712
56.4	530.9616
56.45	530.0472
56.5	530.0472
56.55	529.4376
56.6	529.1328
56.65	529.4376
